method,granularity,TEST_GLOBAL_AUPRC,TEST_BURSTY_INPUT_CRASH_AUPRC,TEST_CPU_CONTENTION_AUPRC,TEST_EXECUTOR_FAILURE_AUPRC,TEST_UNKNOWN_AUPRC
unique_name_12345,global,0.22773835698267134,0.22837447890377285,0.22882030927700697,0.21989686332069486,0.2284520149575321
unique_name_12345,app1,0.22773835698267134,0.22837447890377285,0.22882030927700697,0.21989686332069486,0.2284520149575321
unique_name_12345,1_4_1000000_80,0.16958545335784375,,0.16958545335784375,,
unique_name_12345,1_2_100000_68,0.7961696897293326,0.7961696897293326,,,
unique_name_12345,1_5_1000000_86,0.2226889622722955,,,0.2198354628910184,0.22554246165357267
unique_name_12345,trace_avg,0.39614803511982394,0.7961696897293326,0.16958545335784375,0.2198354628910184,0.22554246165357267
unique_name_12345,app_avg,0.22773835698267134,0.22837447890377285,0.22882030927700697,0.21989686332069486,0.2284520149575321
