method,granularity,TEST_GLOBAL_AUPRC,TEST_BURSTY_INPUT_CRASH_AUPRC,TEST_CPU_CONTENTION_AUPRC,TEST_EXECUTOR_FAILURE_AUPRC,TEST_UNKNOWN_AUPRC
try_0000,global,0.6319796954314719,0.6319796954314706,0.631979695431472,0.6319796954314721,0.6319796954314718
try_0000,app1,0.6319796954314719,0.6319796954314706,0.631979695431472,0.6319796954314721,0.6319796954314718
try_0000,1_5_1000000_86,0.4999999999999998,,,0.4999999999999999,0.49999999999999967
try_0000,1_4_1000000_80,0.49999999999999983,,0.49999999999999983,,
try_0000,1_2_100000_68,0.8959390862944145,0.8959390862944145,,,
try_0000,trace_avg,0.6319796954314714,0.8959390862944145,0.49999999999999983,0.4999999999999999,0.49999999999999967
try_0000,app_avg,0.6319796954314719,0.6319796954314706,0.631979695431472,0.6319796954314721,0.6319796954314718
