method,granularity,TEST_GLOBAL_PRECISION,TEST_GLOBAL_RECALL,TEST_GLOBAL_F1.0_SCORE,TEST_BURSTY_INPUT_CRASH_RECALL,TEST_BURSTY_INPUT_CRASH_F1.0_SCORE,TEST_CPU_CONTENTION_RECALL,TEST_CPU_CONTENTION_F1.0_SCORE,TEST_EXECUTOR_FAILURE_RECALL,TEST_EXECUTOR_FAILURE_F1.0_SCORE,TEST_UNKNOWN_RECALL,TEST_UNKNOWN_F1.0_SCORE
try_0000,global,0.26395939086294457,0.9999999999999996,0.41767068273092417,0.9999999999999974,0.41767068273092395,0.9999999999999997,0.4176706827309241,0.9999999999999998,0.4176706827309242,0.9999999999999993,0.41767068273092417
try_0000,app1,0.26395939086294457,0.9999999999999996,0.41767068273092417,0.9999999999999974,0.41767068273092395,0.9999999999999997,0.4176706827309241,0.9999999999999998,0.4176706827309242,0.9999999999999993,0.41767068273092417
try_0000,1_2_100000_68,0.7918781725888338,0.9999999999999974,0.88385269121813,0.9999999999999974,0.88385269121813,,,,,,
try_0000,1_5_1000000_86,0.0,0.9999999999999996,0.0,,,,,0.9999999999999998,0.0,0.9999999999999993,0.0
try_0000,1_4_1000000_80,0.0,0.9999999999999997,0.0,,,0.9999999999999997,0.0,,,,
try_0000,trace_avg,0.26395939086294457,0.9999999999999988,0.2946175637393767,0.9999999999999974,0.88385269121813,0.9999999999999997,0.0,0.9999999999999998,0.0,0.9999999999999993,0.0
try_0000,app_avg,0.26395939086294457,0.9999999999999996,0.41767068273092417,0.9999999999999974,0.41767068273092395,0.9999999999999997,0.4176706827309241,0.9999999999999998,0.4176706827309242,0.9999999999999993,0.41767068273092417
