method,granularity,TEST_GLOBAL_AUPRC,TEST_BURSTY_INPUT_CRASH_AUPRC,TEST_CPU_CONTENTION_AUPRC,TEST_EXECUTOR_FAILURE_AUPRC,TEST_UNKNOWN_AUPRC
try_0000,global,0.6852085708170513,0.6852085708170499,0.6852085708170514,0.6852085708170516,0.6852085708170512
try_0000,app1,0.6852085708170513,0.6852085708170499,0.6852085708170514,0.6852085708170516,0.6852085708170512
try_0000,1_5_1000000_86,0.5946502057613167,,,0.5946502057613168,0.5946502057613164
try_0000,1_4_1000000_80,0.5650364203954212,,0.5650364203954212,,
try_0000,1_2_100000_68,0.8959390862944145,0.8959390862944145,,,
try_0000,trace_avg,0.6852085708170508,0.8959390862944145,0.5650364203954212,0.5946502057613168,0.5946502057613164
try_0000,app_avg,0.6852085708170513,0.6852085708170499,0.6852085708170514,0.6852085708170516,0.6852085708170512
