method,granularity,TEST_GLOBAL_PRECISION,TEST_GLOBAL_RECALL,TEST_GLOBAL_F1.0_SCORE,TEST_BURSTY_INPUT_CRASH_RECALL,TEST_BURSTY_INPUT_CRASH_F1.0_SCORE,TEST_CPU_CONTENTION_RECALL,TEST_CPU_CONTENTION_F1.0_SCORE,TEST_EXECUTOR_FAILURE_RECALL,TEST_EXECUTOR_FAILURE_F1.0_SCORE,TEST_UNKNOWN_RECALL,TEST_UNKNOWN_F1.0_SCORE
try_0000,global,0.3704171416341034,1.0,0.540590350748843,1.0,0.540590350748843,1.0,0.540590350748843,1.0,0.540590350748843,1.0,0.540590350748843
try_0000,app1,0.3704171416341034,1.0,0.540590350748843,1.0,0.540590350748843,1.0,0.540590350748843,1.0,0.540590350748843,1.0,0.540590350748843
try_0000,1_2_100000_68,0.7918781725888338,1.0,0.8838526912181311,1.0,0.8838526912181311,,,,,,
try_0000,1_5_1000000_86,0.18930041152263372,1.0,0.3183391003460207,,,,,1.0,0.3183391003460207,1.0,0.3183391003460207
try_0000,1_4_1000000_80,0.13007284079084283,1.0,0.23020257826887652,,,1.0,0.23020257826887652,,,,
try_0000,trace_avg,0.3704171416341035,1.0,0.47746478994434277,1.0,0.8838526912181311,1.0,0.23020257826887652,1.0,0.3183391003460207,1.0,0.3183391003460207
try_0000,app_avg,0.3704171416341034,1.0,0.540590350748843,1.0,0.540590350748843,1.0,0.540590350748843,1.0,0.540590350748843,1.0,0.540590350748843
