method,granularity,TEST_GLOBAL_AUPRC,TEST_BURSTY_INPUT_CRASH_AUPRC,TEST_CPU_CONTENTION_AUPRC,TEST_EXECUTOR_FAILURE_AUPRC,TEST_UNKNOWN_AUPRC
try_0000,global,0.6852085708170517,0.6852085708170517,0.6852085708170517,0.6852085708170517,0.6852085708170517
try_0000,app1,0.6852085708170517,0.6852085708170517,0.6852085708170517,0.6852085708170517,0.6852085708170517
try_0000,1_5_1000000_86,0.5946502057613169,,,0.5946502057613169,0.5946502057613169
try_0000,1_4_1000000_80,0.5650364203954215,,0.5650364203954215,,
try_0000,1_2_100000_68,0.8959390862944169,0.8959390862944169,,,
try_0000,trace_avg,0.6852085708170518,0.8959390862944169,0.5650364203954215,0.5946502057613169,0.5946502057613169
try_0000,app_avg,0.6852085708170517,0.6852085708170517,0.6852085708170517,0.6852085708170517,0.6852085708170517
