method,granularity,TEST_GLOBAL_AUPRC,TEST_BURSTY_INPUT_CRASH_AUPRC,TEST_CPU_CONTENTION_AUPRC,TEST_EXECUTOR_FAILURE_AUPRC,TEST_UNKNOWN_AUPRC
mse,global,0.5225872245048709,0.20302068619609084,0.5418243958224563,0.45105961388076654,0.7414636087234775
mse,app1,0.5225872245048709,0.20302068619609084,0.5418243958224563,0.45105961388076654,0.7414636087234775
mse,1_5_1000000_86,0.5054841323278201,,,0.03846153846153845,0.9446287149964692
mse,1_4_1000000_80,0.578809143371355,,0.578809143371355,,
mse,1_2_100000_68,0.9143770379530782,0.9143770379530782,,,
mse,trace_avg,0.6662234378840844,0.9143770379530782,0.578809143371355,0.03846153846153845,0.9446287149964692
mse,app_avg,0.5225872245048709,0.20302068619609084,0.5418243958224563,0.45105961388076654,0.7414636087234775
