method,granularity,TEST_GLOBAL_AUPRC,TEST_BURSTY_INPUT_CRASH_AUPRC,TEST_CPU_CONTENTION_AUPRC,TEST_EXECUTOR_FAILURE_AUPRC,TEST_UNKNOWN_AUPRC
mse,global,0.6454226181826062,0.42333464930659676,0.6650363045162719,0.5652371777786693,0.8218264255978753
mse,app1,0.6454226181826062,0.42333464930659676,0.6650363045162719,0.5652371777786693,0.8218264255978753
mse,1_5_1000000_86,0.83666071674189,,,0.6875356104609003,0.9922258123531404
mse,1_2_100000_68,0.8556878366479201,0.8556878366479201,,,
mse,1_4_1000000_80,0.6294914739345863,,0.6294914739345863,,
mse,trace_avg,0.7739466757747988,0.8556878366479201,0.6294914739345863,0.6875356104609003,0.9922258123531404
mse,app_avg,0.6454226181826062,0.42333464930659676,0.6650363045162719,0.5652371777786693,0.8218264255978753
