method,granularity,TEST_GLOBAL_AUPRC,TEST_BURSTY_INPUT_CRASH_AUPRC,TEST_CPU_CONTENTION_AUPRC,TEST_EXECUTOR_FAILURE_AUPRC,TEST_UNKNOWN_AUPRC
mse,global,0.6815925355877204,0.6636273849110301,0.6533698289267553,0.691401182913754,0.6953401642940551
mse,app1,0.6815925355877204,0.6636273849110301,0.6533698289267553,0.691401182913754,0.6953401642940551
mse,1_2_100000_68,1.0,1.0,,,
mse,1_5_1000000_86,0.926970108695652,,,0.869565217391304,0.9571428571428573
mse,1_4_1000000_80,0.6377793973099579,,0.6377793973099579,,
mse,trace_avg,0.85491650200187,1.0,0.6377793973099579,0.869565217391304,0.9571428571428573
mse,app_avg,0.6815925355877204,0.6636273849110301,0.6533698289267553,0.691401182913754,0.6953401642940551
