method,granularity,TEST_GLOBAL_AUPRC,TEST_BURSTY_INPUT_CRASH_AUPRC,TEST_CPU_CONTENTION_AUPRC,TEST_EXECUTOR_FAILURE_AUPRC,TEST_UNKNOWN_AUPRC
mse,global,0.6161177528874627,0.4065251890679817,0.6353685508023861,0.5652371777786693,0.7442700039333596
mse,app1,0.6161177528874627,0.4065251890679817,0.6353685508023861,0.5652371777786693,0.7442700039333596
mse,1_4_1000000_80,0.5936389367881166,,0.5936389367881166,,
mse,1_2_100000_68,0.7961456092156047,0.7961456092156047,,,
mse,1_5_1000000_86,0.829734996166329,,,0.6875356104609003,0.9782783425854906
mse,trace_avg,0.7398398473900167,0.7961456092156047,0.5936389367881166,0.6875356104609003,0.9782783425854906
mse,app_avg,0.6161177528874627,0.4065251890679817,0.6353685508023861,0.5652371777786693,0.7442700039333596
