method,granularity,TEST_GLOBAL_PRECISION,TEST_GLOBAL_RECALL,TEST_GLOBAL_F1.0_SCORE,TEST_BURSTY_INPUT_CRASH_RECALL,TEST_BURSTY_INPUT_CRASH_F1.0_SCORE,TEST_CPU_CONTENTION_RECALL,TEST_CPU_CONTENTION_F1.0_SCORE,TEST_EXECUTOR_FAILURE_RECALL,TEST_EXECUTOR_FAILURE_F1.0_SCORE,TEST_UNKNOWN_RECALL,TEST_UNKNOWN_F1.0_SCORE
iqr_2.0_1_1.0,global,0.5325899335406378,0.5555555555555556,0.5438303965349784,0.0,0.0,0.5,0.5157806756012479,1.0,0.695019485493072,1.0,0.695019485493072
iqr_2.0_1_1.0,app1,0.5325899335406378,0.5555555555555556,0.5438303965349784,0.0,0.0,0.5,0.5157806756012479,1.0,0.695019485493072,1.0,0.695019485493072
iqr_2.0_1_1.0,1_4_1000000_80,0.4930101441985244,0.5,0.4964804710997604,,,0.5,0.4964804710997604,,,,
iqr_2.0_1_1.0,1_5_1000000_86,0.690909090909091,1.0,0.817204301075269,,,,,1.0,0.817204301075269,1.0,0.817204301075269
iqr_2.0_1_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
iqr_2.0_1_1.0,trace_avg,0.7279730783692052,0.5,0.4378949240583432,0.0,0.0,0.5,0.4964804710997604,1.0,0.817204301075269,1.0,0.817204301075269
iqr_2.0_1_1.0,app_avg,0.5325899335406378,0.5555555555555556,0.5438303965349784,0.0,0.0,0.5,0.5157806756012479,1.0,0.695019485493072,1.0,0.695019485493072
iqr_2.5_1_1.0,global,0.5376925440151242,0.5555555555555556,0.5464781143927155,0.0,0.0,0.5,0.5181617109193447,1.0,0.6993498747300105,1.0,0.6993498747300105
iqr_2.5_1_1.0,app1,0.5376925440151242,0.5555555555555556,0.5464781143927155,0.0,0.0,0.5,0.5181617109193447,1.0,0.6993498747300105,1.0,0.6993498747300105
iqr_2.5_1_1.0,1_4_1000000_80,0.4921156800189052,0.5,0.4960265117567013,,,0.5,0.4960265117567013,,,,
iqr_2.5_1_1.0,1_5_1000000_86,0.7200000000000002,1.0,0.8372093023255816,,,,,1.0,0.8372093023255816,1.0,0.8372093023255816
iqr_2.5_1_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
iqr_2.5_1_1.0,trace_avg,0.7373718933396352,0.5,0.4444119380274276,0.0,0.0,0.5,0.4960265117567013,1.0,0.8372093023255816,1.0,0.8372093023255816
iqr_2.5_1_1.0,app_avg,0.5376925440151242,0.5555555555555556,0.5464781143927155,0.0,0.0,0.5,0.5181617109193447,1.0,0.6993498747300105,1.0,0.6993498747300105
std_1.5_1_1.0,global,0.5269242970439802,0.5555555555555556,0.5408612823176244,0.0,0.0,0.5,0.5131091927231064,1.0,0.6901773690602333,1.0,0.6901773690602333
std_1.5_1_1.0,app1,0.5269242970439802,0.5555555555555556,0.5408612823176244,0.0,0.0,0.5,0.5131091927231064,1.0,0.6901773690602333,1.0,0.6901773690602333
std_1.5_1_1.0,1_4_1000000_80,0.4876027397260279,0.5,0.4937235591927321,,,0.5,0.4937235591927321,,,,
std_1.5_1_1.0,1_5_1000000_86,0.6842105263157897,1.0,0.8125000000000001,,,,,1.0,0.8125000000000001,1.0,0.8125000000000001
std_1.5_1_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
std_1.5_1_1.0,trace_avg,0.7239377553472726,0.5,0.435407853064244,0.0,0.0,0.5,0.4937235591927321,1.0,0.8125000000000001,1.0,0.8125000000000001
std_1.5_1_1.0,app_avg,0.5269242970439802,0.5555555555555556,0.5408612823176244,0.0,0.0,0.5,0.5131091927231064,1.0,0.6901773690602333,1.0,0.6901773690602333
mad_2.0_1_1.0,global,0.6375001478869906,0.7777777777777778,0.7006870373162231,0.0,0.0,0.8333333333333334,0.7223796983440849,1.0,0.7786260645040096,1.0,0.7786260645040096
mad_2.0_1_1.0,app1,0.6375001478869906,0.7777777777777778,0.7006870373162231,0.0,0.0,0.8333333333333334,0.7223796983440849,1.0,0.7786260645040096,1.0,0.7786260645040096
mad_2.0_1_1.0,1_4_1000000_80,0.6351643139489638,0.8333333333333334,0.7208776887549468,,,0.8333333333333334,0.7208776887549468,,,,
mad_2.0_1_1.0,1_5_1000000_86,0.6515151515151512,1.0,0.7889908256880731,,,,,1.0,0.7889908256880731,1.0,0.7889908256880731
mad_2.0_1_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
mad_2.0_1_1.0,trace_avg,0.7622264884880382,0.6111111111111112,0.50328950481434,0.0,0.0,0.8333333333333334,0.7208776887549468,1.0,0.7889908256880731,1.0,0.7889908256880731
mad_2.0_1_1.0,app_avg,0.6375001478869906,0.7777777777777778,0.7006870373162231,0.0,0.0,0.8333333333333334,0.7223796983440849,1.0,0.7786260645040096,1.0,0.7786260645040096
mad_2.5_1_1.0,global,0.5118302029882569,0.5555555555555556,0.532797276889248,0.0,0.0,0.5,0.5058459428040982,1.0,0.6771001161064019,1.0,0.6771001161064019
mad_2.5_1_1.0,app1,0.5118302029882569,0.5555555555555556,0.532797276889248,0.0,0.0,0.5,0.5058459428040982,1.0,0.6771001161064019,1.0,0.6771001161064019
mad_2.5_1_1.0,1_4_1000000_80,0.47446517309016,0.5,0.4868980300091867,,,0.5,0.4868980300091867,,,,
mad_2.5_1_1.0,1_5_1000000_86,0.6612903225806448,1.0,0.7961165048543687,,,,,1.0,0.7961165048543687,1.0,0.7961165048543687
mad_2.5_1_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
mad_2.5_1_1.0,trace_avg,0.711918498556935,0.5,0.4276715116211851,0.0,0.0,0.5,0.4868980300091867,1.0,0.7961165048543687,1.0,0.7961165048543687
mad_2.5_1_1.0,app_avg,0.5118302029882569,0.5555555555555556,0.532797276889248,0.0,0.0,0.5,0.5058459428040982,1.0,0.6771001161064019,1.0,0.6771001161064019
std_3.0_2_1.0,global,0.5238553852875036,0.5555555555555556,0.5392399846843559,0.0,0.0,0.5,0.5116497825915156,1.0,0.6875395005920047,1.0,0.6875395005920047
std_3.0_2_1.0,app1,0.5238553852875036,0.5555555555555556,0.5392399846843559,0.0,0.0,0.5,0.5116497825915156,1.0,0.6875395005920047,1.0,0.6875395005920047
std_3.0_2_1.0,1_4_1000000_80,0.4837666000304321,0.5,0.4917493641433518,,,0.5,0.4917493641433518,,,,
std_3.0_2_1.0,1_5_1000000_86,0.6842105263157897,1.0,0.8125000000000001,,,,,1.0,0.8125000000000001,1.0,0.8125000000000001
std_3.0_2_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
std_3.0_2_1.0,trace_avg,0.7226590421154073,0.5,0.4347497880477839,0.0,0.0,0.5,0.4917493641433518,1.0,0.8125000000000001,1.0,0.8125000000000001
std_3.0_2_1.0,app_avg,0.5238553852875036,0.5555555555555556,0.5392399846843559,0.0,0.0,0.5,0.5116497825915156,1.0,0.6875395005920047,1.0,0.6875395005920047
mad_3.0_1_1.0,global,0.523186664575248,0.5555555555555556,0.5388854773147118,0.0,0.0,0.5,0.5113306131608318,1.0,0.6869632944444698,1.0,0.6869632944444698
mad_3.0_1_1.0,app1,0.523186664575248,0.5555555555555556,0.5388854773147118,0.0,0.0,0.5,0.5113306131608318,1.0,0.6869632944444698,1.0,0.6869632944444698
mad_3.0_1_1.0,1_4_1000000_80,0.4844918052953312,0.5,0.4921237563272471,,,0.5,0.4921237563272471,,,,
mad_3.0_1_1.0,1_5_1000000_86,0.6779661016949153,1.0,0.8080808080808082,,,,,1.0,0.8080808080808082,1.0,0.8080808080808082
mad_3.0_1_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
mad_3.0_1_1.0,trace_avg,0.7208193023300821,0.5,0.4334015214693518,0.0,0.0,0.5,0.4921237563272471,1.0,0.8080808080808082,1.0,0.8080808080808082
mad_3.0_1_1.0,app_avg,0.523186664575248,0.5555555555555556,0.5388854773147118,0.0,0.0,0.5,0.5113306131608318,1.0,0.6869632944444698,1.0,0.6869632944444698
iqr_3.0_2_1.0,global,0.5375949830395146,0.5555555555555556,0.546427722297504,0.0,0.0,0.5,0.5181164055599924,1.0,0.6992673479940705,1.0,0.6992673479940705
iqr_3.0_2_1.0,app1,0.5375949830395146,0.5555555555555556,0.546427722297504,0.0,0.0,0.5,0.5181164055599924,1.0,0.6992673479940705,1.0,0.6992673479940705
iqr_3.0_2_1.0,1_4_1000000_80,0.4934223002279645,0.5,0.4966893738088394,,,0.5,0.4966893738088394,,,,
iqr_3.0_2_1.0,1_5_1000000_86,0.7142857142857147,1.0,0.8333333333333336,,,,,1.0,0.8333333333333336,1.0,0.8333333333333336
iqr_3.0_2_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
iqr_3.0_2_1.0,trace_avg,0.7359026715045598,0.5,0.4433409023807242,0.0,0.0,0.5,0.4966893738088394,1.0,0.8333333333333336,1.0,0.8333333333333336
iqr_3.0_2_1.0,app_avg,0.5375949830395146,0.5555555555555556,0.546427722297504,0.0,0.0,0.5,0.5181164055599924,1.0,0.6992673479940705,1.0,0.6992673479940705
std_2.5_1_1.0,global,0.5363514859906202,0.5555555555555556,0.5457846436279544,0.0,0.0,0.5,0.5175382032457225,1.0,0.6982145568659212,1.0,0.6982145568659212
std_2.5_1_1.0,app1,0.5363514859906202,0.5555555555555556,0.5457846436279544,0.0,0.0,0.5,0.5175382032457225,1.0,0.6982145568659212,1.0,0.6982145568659212
