method,granularity,TEST_GLOBAL_PRECISION,TEST_GLOBAL_RECALL,TEST_GLOBAL_F1.0_SCORE,TEST_BURSTY_INPUT_CRASH_RECALL,TEST_BURSTY_INPUT_CRASH_F1.0_SCORE,TEST_CPU_CONTENTION_RECALL,TEST_CPU_CONTENTION_F1.0_SCORE,TEST_EXECUTOR_FAILURE_RECALL,TEST_EXECUTOR_FAILURE_F1.0_SCORE,TEST_UNKNOWN_RECALL,TEST_UNKNOWN_F1.0_SCORE
mad_1.5_1_1.0,global,0.6151474942657114,0.6330727566430179,0.6239814161856834,0.0077509636333165,0.0153090308595762,0.6406249999999999,0.6276277993242737,0.846153846153846,0.7123916249544917,0.9999999999999992,0.7617229961346328
mad_1.5_1_1.0,app1,0.6151474942657114,0.6330727566430179,0.6239814161856834,0.0077509636333165,0.0153090308595762,0.6406249999999999,0.6276277993242737,0.846153846153846,0.7123916249544917,0.9999999999999992,0.7617229961346328
mad_1.5_1_1.0,1_5_1000000_86,0.0,0.9230769230769228,0.0,,,,,0.846153846153846,0.0,0.9999999999999992,0.0
mad_1.5_1_1.0,1_4_1000000_80,0.6480467783416289,0.6406249999999999,0.6443145172455973,,,0.6406249999999999,0.6443145172455973,,,,
mad_1.5_1_1.0,1_2_100000_68,1.0,0.0077509636333165,0.0153826965451295,0.0077509636333165,0.0153826965451295,,,,,,
mad_1.5_1_1.0,trace_avg,0.5493489261138763,0.523817628903413,0.2198990712635755,0.0077509636333165,0.0153826965451295,0.6406249999999999,0.6443145172455973,0.846153846153846,0.0,0.9999999999999992,0.0
mad_1.5_1_1.0,app_avg,0.6151474942657114,0.6330727566430179,0.6239814161856834,0.0077509636333165,0.0153090308595762,0.6406249999999999,0.6276277993242737,0.846153846153846,0.7123916249544917,0.9999999999999992,0.7617229961346328
std_2.0_1_1.0,global,0.3947378401823716,0.3079271539945696,0.3459699877142671,0.0,0.0,0.2567625258636493,0.3111399169713675,0.2307692307692307,0.2912624076201423,0.9999999999999992,0.566038761995239
std_2.0_1_1.0,app1,0.3947378401823716,0.3079271539945696,0.3459699877142671,0.0,0.0,0.2567625258636493,0.3111399169713675,0.2307692307692307,0.2912624076201423,0.9999999999999992,0.566038761995239
std_2.0_1_1.0,1_5_1000000_86,0.0,0.6153846153846151,0.0,,,,,0.2307692307692307,0.0,0.9999999999999992,0.0
std_2.0_1_1.0,1_4_1000000_80,0.4934223002279645,0.2567625258636493,0.3377630464322727,,,0.2567625258636493,0.3377630464322727,,,,
std_2.0_1_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
std_2.0_1_1.0,trace_avg,0.4978074334093215,0.2907157137494214,0.1125876821440908,0.0,0.0,0.2567625258636493,0.3377630464322727,0.2307692307692307,0.0,0.9999999999999992,0.0
std_2.0_1_1.0,app_avg,0.3947378401823716,0.3079271539945696,0.3459699877142671,0.0,0.0,0.2567625258636493,0.3111399169713675,0.2307692307692307,0.2912624076201423,0.9999999999999992,0.566038761995239
std_2.5_1_1.0,global,0.3828631138975968,0.2601413694336332,0.3097911051535853,0.0,0.0,0.2235453874837833,0.2822760002688647,0.0,0.0,0.9999999999999992,0.5537252531358622
std_2.5_1_1.0,app1,0.3828631138975968,0.2601413694336332,0.3097911051535853,0.0,0.0,0.2235453874837833,0.2822760002688647,0.0,0.0,0.9999999999999992,0.5537252531358622
std_2.5_1_1.0,1_5_1000000_86,0.0,0.4999999999999996,0.0,,,,,0.0,0.0,0.9999999999999992,0.0
std_2.5_1_1.0,1_4_1000000_80,0.478578892371996,0.2235453874837833,0.3047440659902343,,,0.2235453874837833,0.3047440659902343,,,,
std_2.5_1_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
std_2.5_1_1.0,trace_avg,0.4928596307906653,0.2411817958279276,0.1015813553300781,0.0,0.0,0.2235453874837833,0.3047440659902343,0.0,0.0,0.9999999999999992,0.0
std_2.5_1_1.0,app_avg,0.3828631138975968,0.2601413694336332,0.3097911051535853,0.0,0.0,0.2235453874837833,0.2822760002688647,0.0,0.0,0.9999999999999992,0.5537252531358622
iqr_2.0_1_1.0,global,0.3944081153588196,0.3388750481406567,0.3645387641015465,0.0,0.0,0.2775433414417543,0.3258132566588646,0.3846153846153846,0.3894502001266571,0.9999999999999992,0.5656996843529234
iqr_2.0_1_1.0,app1,0.3944081153588196,0.3388750481406567,0.3645387641015465,0.0,0.0,0.2775433414417543,0.3258132566588646,0.3846153846153846,0.3894502001266571,0.9999999999999992,0.5656996843529234
