method,granularity,TEST_GLOBAL_PRECISION,TEST_GLOBAL_RECALL,TEST_GLOBAL_F1.0_SCORE,TEST_BURSTY_INPUT_CRASH_RECALL,TEST_BURSTY_INPUT_CRASH_F1.0_SCORE,TEST_CPU_CONTENTION_RECALL,TEST_CPU_CONTENTION_F1.0_SCORE,TEST_EXECUTOR_FAILURE_RECALL,TEST_EXECUTOR_FAILURE_F1.0_SCORE,TEST_UNKNOWN_RECALL,TEST_UNKNOWN_F1.0_SCORE
mad_3.0_1_1.0,global,0.523186664575248,0.400268894650917,0.4535472136875107,0.0,0.0,0.3439930855661192,0.4150756404192943,0.5384615384615385,0.5307142149422306,0.9999999999999992,0.6869632944444697
mad_3.0_1_1.0,app1,0.523186664575248,0.400268894650917,0.4535472136875107,0.0,0.0,0.3439930855661192,0.4150756404192943,0.5384615384615385,0.5307142149422306,0.9999999999999992,0.6869632944444697
mad_3.0_1_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
mad_3.0_1_1.0,1_4_1000000_80,0.4844918052953312,0.3439930855661192,0.4023291984522424,,,0.3439930855661192,0.4023291984522424,,,,
mad_3.0_1_1.0,1_5_1000000_86,0.6779661016949153,0.7692307692307689,0.7207207207207207,,,,,0.5384615384615385,0.6002143622722401,0.9999999999999992,0.8080808080808078
mad_3.0_1_1.0,trace_avg,0.7208193023300821,0.3710746182656294,0.3743499730576543,0.0,0.0,0.3439930855661192,0.4023291984522424,0.5384615384615385,0.6002143622722401,0.9999999999999992,0.8080808080808078
mad_3.0_1_1.0,app_avg,0.523186664575248,0.400268894650917,0.4535472136875107,0.0,0.0,0.3439930855661192,0.4150756404192943,0.5384615384615385,0.5307142149422306,0.9999999999999992,0.6869632944444697
std_2.0_2_1.0,global,0.6317420452729043,0.5981177536655062,0.6144702564322204,0.0,0.0,0.6023048356264646,0.616672339804652,0.7692307692307692,0.6937399704117119,0.9999999999999992,0.774316071713709
std_2.0_2_1.0,app1,0.6317420452729043,0.5981177536655062,0.6144702564322204,0.0,0.0,0.6023048356264646,0.616672339804652,0.7692307692307692,0.6937399704117119,0.9999999999999992,0.774316071713709
std_2.0_2_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
std_2.0_2_1.0,1_4_1000000_80,0.6284465275658632,0.6023048356264646,0.6150980511673493,,,0.6023048356264646,0.6150980511673493,,,,
std_2.0_2_1.0,1_5_1000000_86,0.6515151515151512,0.8846153846153842,0.7503793626707128,,,,,0.7692307692307692,0.7054963084495486,0.9999999999999992,0.7889908256880729
std_2.0_2_1.0,trace_avg,0.7599872263603382,0.4956400734139496,0.4551591379460207,0.0,0.0,0.6023048356264646,0.6150980511673493,0.7692307692307692,0.7054963084495486,0.9999999999999992,0.7889908256880729
std_2.0_2_1.0,app_avg,0.6317420452729043,0.5981177536655062,0.6144702564322204,0.0,0.0,0.6023048356264646,0.616672339804652,0.7692307692307692,0.6937399704117119,0.9999999999999992,0.774316071713709
std_2.5_2_1.0,global,0.5155989686103436,0.413449534236051,0.4589085559503458,0.0,0.0,0.3509435321233073,0.4176278094843628,0.6153846153846154,0.5610897938415964,0.9999999999999992,0.6803897063655269
std_2.5_2_1.0,app1,0.5155989686103436,0.413449534236051,0.4589085559503458,0.0,0.0,0.3509435321233073,0.4176278094843628,0.6153846153846154,0.5610897938415964,0.9999999999999992,0.6803897063655269
std_2.5_2_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
std_2.5_2_1.0,1_4_1000000_80,0.4764659238776835,0.3509435321233073,0.4041835225577332,,,0.3509435321233073,0.4041835225577332,,,,
std_2.5_2_1.0,1_5_1000000_86,0.6721311475409839,0.8076923076923074,0.7337025990626332,,,,,0.6153846153846154,0.6425073457394713,0.9999999999999992,0.803921568627451
std_2.5_2_1.0,trace_avg,0.7161990238062225,0.3862119466052049,0.3792953738734554,0.0,0.0,0.3509435321233073,0.4041835225577332,0.6153846153846154,0.6425073457394713,0.9999999999999992,0.803921568627451
std_2.5_2_1.0,app_avg,0.5155989686103436,0.413449534236051,0.4589085559503458,0.0,0.0,0.3509435321233073,0.4176278094843628,0.6153846153846154,0.5610897938415964,0.9999999999999992,0.6803897063655269
mad_1.5_2_1.0,global,0.5902505444006847,0.8046652421652418,0.6809788832021301,0.0961538461538461,0.1653685810275088,0.8576388888888884,0.6992548041679395,0.9999999999999998,0.7423365412185807,0.9999999999999992,0.7423365412185805
mad_1.5_2_1.0,app1,0.5902505444006847,0.8046652421652418,0.6809788832021301,0.0961538461538461,0.1653685810275088,0.8576388888888884,0.6992548041679395,0.9999999999999998,0.7423365412185807,0.9999999999999992,0.7423365412185805
mad_1.5_2_1.0,1_2_100000_68,1.0,0.0961538461538461,0.1754385964912281,0.0961538461538461,0.1754385964912281,,,,,,
mad_1.5_2_1.0,1_4_1000000_80,0.5329520693897447,0.8576388888888884,0.6573901806297652,,,0.8576388888888884,0.6573901806297652,,,,
mad_1.5_2_1.0,1_5_1000000_86,0.6388888888888891,0.9999999999999996,0.7796610169491525,,,,,0.9999999999999998,0.7796610169491527,0.9999999999999992,0.7796610169491525
mad_1.5_2_1.0,trace_avg,0.7239469860928779,0.6512642450142447,0.5374965980233819,0.0961538461538461,0.1754385964912281,0.8576388888888884,0.6573901806297652,0.9999999999999998,0.7796610169491527,0.9999999999999992,0.7796610169491525
mad_1.5_2_1.0,app_avg,0.5902505444006847,0.8046652421652418,0.6809788832021301,0.0961538461538461,0.1653685810275088,0.8576388888888884,0.6992548041679395,0.9999999999999998,0.7423365412185807,0.9999999999999992,0.7423365412185805
iqr_2.0_2_1.0,global,0.5201123706008752,0.3979520791318543,0.4509047253121991,0.0,0.0,0.3405178622875252,0.4115764141631612,0.5384615384615385,0.5291279236131499,0.9999999999999992,0.684307792844661
iqr_2.0_2_1.0,app1,0.5201123706008752,0.3979520791318543,0.4509047253121991,0.0,0.0,0.3405178622875252,0.4115764141631612,0.5384615384615385,0.5291279236131499,0.9999999999999992,0.684307792844661
iqr_2.0_2_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
iqr_2.0_2_1.0,1_4_1000000_80,0.4806489378273653,0.3405178622875252,0.3986268046804737,,,0.3405178622875252,0.3986268046804737,,,,
iqr_2.0_2_1.0,1_5_1000000_86,0.6779661016949153,0.7692307692307689,0.7207207207207207,,,,,0.5384615384615385,0.6002143622722401,0.9999999999999992,0.8080808080808078
iqr_2.0_2_1.0,trace_avg,0.7195383465074269,0.369916210506098,0.3731158418003981,0.0,0.0,0.3405178622875252,0.3986268046804737,0.5384615384615385,0.6002143622722401,0.9999999999999992,0.8080808080808078
iqr_2.0_2_1.0,app_avg,0.5201123706008752,0.3979520791318543,0.4509047253121991,0.0,0.0,0.3405178622875252,0.4115764141631612,0.5384615384615385,0.5291279236131499,0.9999999999999992,0.684307792844661
iqr_2.5_2_1.0,global,0.5357932993259519,0.3641121674829539,0.4335763404843109,0.0,0.0,0.328219533275713,0.4070722563401877,0.3076923076923077,0.3909005093719606,0.9999999999999992,0.6977414207512267
iqr_2.5_2_1.0,app1,0.5357932993259519,0.3641121674829539,0.4335763404843109,0.0,0.0,0.328219533275713,0.4070722563401877,0.3076923076923077,0.3909005093719606,0.9999999999999992,0.6977414207512267
iqr_2.5_2_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
iqr_2.5_2_1.0,1_4_1000000_80,0.4952133222706474,0.328219533275713,0.3947830947302684,,,0.328219533275713,0.3947830947302684,,,,
iqr_2.5_2_1.0,1_5_1000000_86,0.6981132075471698,0.6538461538461535,0.6752549651100375,,,,,0.3076923076923077,0.4271284271284272,0.9999999999999992,0.8222222222222221
iqr_2.5_2_1.0,trace_avg,0.7311088432726057,0.3273552290406221,0.356679353280102,0.0,0.0,0.328219533275713,0.3947830947302684,0.3076923076923077,0.4271284271284272,0.9999999999999992,0.8222222222222221
iqr_2.5_2_1.0,app_avg,0.5357932993259519,0.3641121674829539,0.4335763404843109,0.0,0.0,0.328219533275713,0.4070722563401877,0.3076923076923077,0.3909005093719606,0.9999999999999992,0.6977414207512267
std_1.5_2_1.0,global,0.718650858634892,0.7269408831908829,0.722772100540814,0.0576923076923076,0.1068100506528609,0.7602831196581196,0.7388810112788843,0.9230769230769228,0.8081364410652719,0.9999999999999992,0.8362965113294847
std_1.5_2_1.0,app1,0.718650858634892,0.7269408831908829,0.722772100540814,0.0576923076923076,0.1068100506528609,0.7602831196581196,0.7388810112788843,0.9230769230769228,0.8081364410652719,0.9999999999999992,0.8362965113294847
std_1.5_2_1.0,1_2_100000_68,1.0000000000000002,0.0576923076923076,0.109090909090909,0.0576923076923076,0.109090909090909,,,,,,
std_1.5_2_1.0,1_4_1000000_80,0.6929564304364721,0.7602831196581196,0.7250601962836801,,,0.7602831196581196,0.7250601962836801,,,,
std_1.5_2_1.0,1_5_1000000_86,0.642857142857143,0.9615384615384612,0.7705479452054795,,,,,0.9230769230769228,0.7578947368421053,0.9999999999999992,0.7826086956521738
std_1.5_2_1.0,trace_avg,0.7786045244312051,0.5931712962962962,0.5348996835266896,0.0576923076923076,0.109090909090909,0.7602831196581196,0.7250601962836801,0.9230769230769228,0.7578947368421053,0.9999999999999992,0.7826086956521738
std_1.5_2_1.0,app_avg,0.718650858634892,0.7269408831908829,0.722772100540814,0.0576923076923076,0.1068100506528609,0.7602831196581196,0.7388810112788843,0.9230769230769228,0.8081364410652719,0.9999999999999992,0.8362965113294847
mad_2.0_2_1.0,global,0.6145825966326556,0.6358209170709168,0.6250213885746281,0.0,0.0,0.6460390679140677,0.6299183633775355,0.846153846153846,0.7120126707155017,0.9999999999999992,0.7612897573830139
mad_2.0_2_1.0,app1,0.6145825966326556,0.6358209170709168,0.6250213885746281,0.0,0.0,0.6460390679140677,0.6299183633775355,0.846153846153846,0.7120126707155017,0.9999999999999992,0.7612897573830139
mad_2.0_2_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
mad_2.0_2_1.0,1_4_1000000_80,0.6091698921498628,0.6460390679140677,0.6270630020132525,,,0.6460390679140677,0.6270630020132525,,,,
mad_2.0_2_1.0,1_5_1000000_86,0.6470588235294118,0.9230769230769228,0.7608069164265128,,,,,0.846153846153846,0.7333333333333333,0.9999999999999992,0.7857142857142855
mad_2.0_2_1.0,trace_avg,0.7520762385597582,0.5230386636636635,0.4626233061465885,0.0,0.0,0.6460390679140677,0.6270630020132525,0.846153846153846,0.7333333333333333,0.9999999999999992,0.7857142857142855
mad_2.0_2_1.0,app_avg,0.6145825966326556,0.6358209170709168,0.6250213885746281,0.0,0.0,0.6460390679140677,0.6299183633775355,0.846153846153846,0.7120126707155017,0.9999999999999992,0.7612897573830139
mad_2.5_2_1.0,global,0.5906302261833254,0.5059566913499496,0.5450244030326394,0.0,0.0,0.4768837549736425,0.5276969951400015,0.6923076923076923,0.6374398059371276,0.9999999999999992,0.7426367441797288
mad_2.5_2_1.0,app1,0.5906302261833254,0.5059566913499496,0.5450244030326394,0.0,0.0,0.4768837549736425,0.5276969951400015,0.6923076923076923,0.6374398059371276,0.9999999999999992,0.7426367441797288
mad_2.5_2_1.0,1_2_100000_68,1.0,0.0,0.0,0.0,0.0,,,,,,
mad_2.5_2_1.0,1_4_1000000_80,0.5775062714199904,0.4768837549736425,0.5223937107553347,,,0.4768837549736425,0.5223937107553347,,,,
mad_2.5_2_1.0,1_5_1000000_86,0.65625,0.8461538461538458,0.7391999999999999,,,,,0.6923076923076923,0.6737967914438503,0.9999999999999992,0.7924528301886791
mad_2.5_2_1.0,trace_avg,0.7445854238066635,0.4410125337091627,0.4205312369184448,0.0,0.0,0.4768837549736425,0.5223937107553347,0.6923076923076923,0.6737967914438503,0.9999999999999992,0.7924528301886791
